iter	RMSE
0	56.6010049
1	51.39862919
2	46.92542085
3	42.76151758
4	38.86015236
5	35.3216282
6	32.13328115
7	29.27787822
8	26.70625575
9	24.38779219
10	22.29786985
11	20.48849207
12	18.81824989
13	17.25034534
14	15.84901075
15	14.61452216
16	13.48713727
17	12.43786852
18	11.52303088
19	10.66364483
20	9.850112147
21	9.152576557
22	8.515494637
23	7.928240316
24	7.416912216
25	6.944577946
26	6.496848656
27	6.096375859
28	5.751062126
29	5.434542967
30	5.14618982
31	4.895974323
32	4.671285397
33	4.463201547
34	4.262364057
35	4.095523029
36	3.939938608
37	3.806596648
38	3.678319658
39	3.552536166
40	3.445689365
41	3.342670428
42	3.252915179
43	3.173097646
44	3.09796606
45	3.025782801
46	2.954699258
47	2.891395683
48	2.837293015
49	2.781308142
50	2.728604707
51	2.684500622
52	2.637469014
53	2.59558822
54	2.555797909
55	2.511289276
56	2.468948579
57	2.433567661
58	2.404702761
59	2.370681094
60	2.340354571
61	2.308108727
62	2.284210541
63	2.258658848
64	2.232052869
65	2.20831321
66	2.188980443
67	2.175819412
68	2.149395254
69	2.123825077
70	2.103967636
71	2.085272788
72	2.06913452
73	2.046557363
74	2.024141397
75	2.003764792
76	1.984068362
77	1.961818695
78	1.945378555
79	1.931027177
80	1.915192117
81	1.898818135
82	1.880400471
83	1.869620431
84	1.851649266
85	1.839286452
86	1.825956278
87	1.805287071
88	1.789440428
89	1.771417972
90	1.751272637
91	1.735257763
92	1.723981162
93	1.706596581
94	1.689934494
95	1.673242948
96	1.657501686
97	1.645354569
98	1.633644891
99	1.623105482
