iter	Passed	Remaining
0	4	434
1	8	401
2	12	395
3	16	402
4	20	393
5	24	383
6	28	377
7	32	372
8	36	366
9	40	361
10	44	357
11	48	352
12	51	347
13	55	343
14	59	338
15	63	334
16	67	329
17	71	325
18	75	321
19	79	317
20	83	313
21	87	309
22	91	305
23	95	301
24	99	297
25	102	292
26	106	288
27	110	284
28	114	281
29	118	277
30	122	273
31	127	271
32	131	266
33	135	262
34	139	258
35	143	254
36	146	250
37	150	245
38	154	241
39	158	237
40	162	233
41	166	229
42	169	225
43	173	220
44	177	217
45	181	213
46	185	209
47	189	204
48	193	200
49	196	196
50	200	192
51	204	188
52	208	184
53	212	180
54	216	176
55	219	172
56	223	168
57	227	164
58	231	160
59	235	156
60	238	152
61	242	148
62	246	144
63	250	141
64	255	137
65	259	133
66	262	129
67	266	125
68	270	121
69	273	117
70	277	113
71	281	109
72	285	105
73	289	101
74	292	97
75	296	93
76	300	89
77	304	85
78	307	81
79	311	77
80	315	73
81	318	70
82	322	66
83	326	62
84	330	58
85	334	54
86	337	50
87	341	46
88	345	42
89	348	38
90	352	34
91	356	30
92	360	27
93	363	23
94	367	19
95	371	15
96	375	11
97	378	7
98	382	3
99	387	0
