iter	RMSE
0	58.98666922
1	55.9180163
2	52.94263627
3	50.17271197
4	47.64965695
5	45.22043629
6	42.81458731
7	40.62820209
8	38.5717233
9	36.6593395
10	34.82836979
11	33.15133329
12	31.44779177
13	29.93044523
14	28.44607496
15	27.01258946
16	25.7223971
17	24.53004021
18	23.32960382
19	22.20159931
20	21.15751948
21	20.16759512
22	19.23106412
23	18.34990584
24	17.53212141
25	16.7314686
26	15.99616981
27	15.28973909
28	14.61097722
29	13.99673857
30	13.4011309
31	12.86112211
32	12.3192824
33	11.81657188
34	11.33966112
35	10.91244124
36	10.48362933
37	10.082184
38	9.699342636
39	9.347730301
40	9.017959696
41	8.706244325
42	8.418137777
43	8.123246921
44	7.857669445
45	7.606172541
46	7.368138178
47	7.137673463
48	6.928357929
49	6.737911929
50	6.543518458
51	6.364263507
52	6.195725548
53	6.04022074
54	5.890583677
55	5.738427461
56	5.589698284
57	5.451254578
58	5.315603198
59	5.202915155
60	5.091020637
61	4.979916533
62	4.896263542
63	4.790098201
64	4.704971602
65	4.612256074
66	4.531057298
67	4.443987986
68	4.359525693
69	4.284389829
70	4.219982899
71	4.162128459
72	4.094959207
73	4.037025566
74	3.981819656
75	3.933122455
76	3.876888866
77	3.819165293
78	3.774755342
79	3.736571886
80	3.684253003
81	3.64584999
82	3.600770239
83	3.565318395
84	3.524501504
85	3.491782686
86	3.454322688
87	3.426249818
88	3.386652687
89	3.354847613
90	3.324405744
91	3.282459346
92	3.261116682
93	3.235227635
94	3.216298642
95	3.188862666
96	3.16792927
97	3.13474207
98	3.109983556
99	3.092544282
100	3.061861473
101	3.033230708
102	3.010192623
103	2.99423478
104	2.971531241
105	2.950730277
106	2.924834615
107	2.90351179
108	2.883520751
109	2.860564677
110	2.835616669
111	2.815593111
112	2.795987331
113	2.775825464
114	2.755009234
115	2.738446484
116	2.728830801
117	2.711327151
118	2.69881104
119	2.676823429
120	2.65791201
121	2.637868886
122	2.622353209
123	2.603126735
124	2.585509995
125	2.571086294
126	2.560057986
127	2.550566841
128	2.540611144
129	2.520480851
130	2.50450334
131	2.485420334
132	2.468904682
133	2.455656081
134	2.443415741
135	2.429454753
136	2.415514331
137	2.393555834
138	2.382864691
139	2.369368969
140	2.355517852
141	2.341433346
142	2.333560797
143	2.316804115
144	2.306577283
145	2.2860862
146	2.275889336
147	2.26684973
148	2.259035424
149	2.244397281
150	2.235922856
151	2.224568914
152	2.21248451
153	2.204699043
154	2.187856759
155	2.176871251
156	2.165617592
157	2.153818998
158	2.142023913
159	2.133778503
160	2.12646973
161	2.115548813
162	2.105245387
163	2.095048768
164	2.088073527
165	2.077977964
166	2.067969978
167	2.06085084
168	2.052740351
169	2.044335888
170	2.034024654
171	2.02727685
172	2.017793768
173	2.008146027
174	1.996730185
175	1.98794135
176	1.978798751
177	1.971621988
178	1.966146205
179	1.955852695
180	1.947971441
181	1.939755395
182	1.931245383
183	1.923473975
184	1.916104571
185	1.906744764
186	1.897379649
187	1.891318847
188	1.884943046
189	1.876545316
190	1.86431583
191	1.85745834
192	1.846784943
193	1.840944382
194	1.833434214
195	1.823612485
196	1.817515123
197	1.809101242
198	1.804157912
199	1.796911448
200	1.78838676
201	1.781508967
202	1.775838541
203	1.769291311
204	1.762169252
205	1.757247138
206	1.750602533
207	1.74467861
208	1.734620867
209	1.728484383
210	1.723599383
211	1.717857388
212	1.710897734
213	1.706004582
214	1.701605928
215	1.697918863
216	1.693234875
217	1.687892493
218	1.682528193
219	1.675671683
220	1.670767917
221	1.663960675
222	1.659692958
223	1.6538136
224	1.64786121
225	1.640175177
226	1.633819295
227	1.62788034
228	1.621481996
229	1.61417794
230	1.608704913
231	1.603596778
232	1.597887246
233	1.593353853
234	1.586699849
235	1.582083656
236	1.573915143
237	1.57086801
238	1.567456609
239	1.562040412
240	1.557162013
241	1.55219556
242	1.545563373
243	1.541264679
244	1.536103042
245	1.530207594
246	1.522656269
247	1.517435007
248	1.511350809
249	1.505031276
250	1.500569035
251	1.495623888
252	1.491949004
253	1.48667379
254	1.476439181
255	1.472383296
256	1.467805395
257	1.464024702
258	1.457199675
259	1.452499323
260	1.447381461
261	1.442678477
262	1.437668023
263	1.433811676
264	1.429615997
265	1.425670751
266	1.423012869
267	1.419154579
268	1.411951317
269	1.406901726
270	1.401353021
271	1.397516585
272	1.394102723
273	1.39060536
274	1.387467029
275	1.38361465
276	1.381369738
277	1.377954683
278	1.371609132
279	1.36340594
280	1.360544316
281	1.356525551
282	1.35278548
283	1.348970954
284	1.346039786
285	1.342538634
286	1.336486254
287	1.333338809
288	1.328142176
289	1.323709617
290	1.3208386
291	1.316964433
292	1.312834316
293	1.310197671
294	1.304303054
295	1.297726061
296	1.293751938
297	1.289493516
298	1.28578075
299	1.282699731
300	1.278443606
301	1.276295181
302	1.271724632
303	1.26871479
304	1.264459441
305	1.261579984
306	1.259004029
307	1.25631337
308	1.253228258
309	1.247562353
310	1.244987762
311	1.241290415
312	1.238710337
313	1.233647718
314	1.229868344
315	1.226824819
316	1.224374361
317	1.221913188
318	1.219424279
319	1.217177176
320	1.21314006
321	1.208341956
322	1.20503467
323	1.202517869
324	1.200597236
325	1.19796788
326	1.195395407
327	1.191132883
328	1.188244507
329	1.185731467
330	1.18307093
331	1.179248253
332	1.175965343
333	1.173640497
334	1.17096085
335	1.169139836
336	1.166901613
337	1.163208833
338	1.159422831
339	1.157757451
340	1.154833773
341	1.151760513
342	1.149787355
343	1.14717375
344	1.143637213
345	1.140948047
346	1.139162875
347	1.135560741
348	1.133307586
349	1.130854748
350	1.128486812
351	1.126025217
352	1.123568799
353	1.121303454
354	1.119279784
355	1.116968927
356	1.11484996
357	1.112970433
358	1.109659581
359	1.106961562
360	1.103206903
361	1.100453821
362	1.097744693
363	1.096054528
364	1.092768527
365	1.091406436
366	1.086982905
367	1.085154422
368	1.083068619
369	1.081114548
370	1.07895657
371	1.076410926
372	1.074623407
373	1.072947658
374	1.070656176
375	1.069007554
376	1.067789209
377	1.066048891
378	1.063515959
379	1.060246938
380	1.056014873
381	1.053599097
382	1.050159624
383	1.048494018
384	1.046369576
385	1.045280352
386	1.043609847
387	1.041770014
388	1.039033339
389	1.037113781
390	1.03520295
391	1.03369072
392	1.032153202
