iter	Passed	Remaining
0	3	3680
1	8	4221
2	11	3768
3	14	3552
4	17	3396
5	20	3351
6	23	3348
7	26	3315
8	29	3243
9	32	3203
10	35	3156
11	39	3218
12	41	3184
13	44	3159
14	47	3117
15	50	3076
16	53	3101
17	56	3092
18	59	3063
19	61	3036
20	64	3008
21	67	2983
22	70	2981
23	72	2961
24	75	2951
25	78	2929
26	80	2907
27	84	2919
28	87	2927
29	90	2918
30	92	2899
31	95	2878
32	97	2859
33	101	2893
34	104	2880
35	107	2866
36	109	2850
37	112	2835
38	115	2838
39	118	2835
40	120	2823
41	123	2810
42	125	2798
43	128	2785
44	131	2792
45	134	2795
46	137	2782
47	139	2770
48	142	2759
49	144	2746
50	148	2754
51	150	2743
52	153	2734
53	155	2724
54	158	2718
55	161	2717
56	164	2728
57	167	2717
58	169	2710
59	172	2700
60	174	2691
61	177	2685
62	180	2679
63	182	2670
64	184	2660
65	188	2665
66	191	2665
67	194	2669
68	198	2674
69	200	2667
70	203	2657
71	205	2650
72	208	2644
73	211	2650
74	214	2640
75	216	2631
76	219	2630
77	221	2623
78	224	2615
79	227	2611
80	229	2604
81	231	2595
82	234	2588
83	236	2580
84	239	2578
85	243	2583
86	245	2576
87	247	2568
88	250	2560
89	252	2553
90	254	2546
91	258	2548
92	260	2544
93	263	2539
94	265	2532
95	268	2525
96	270	2519
97	273	2521
98	276	2514
99	279	2513
100	281	2508
101	284	2502
102	286	2496
103	289	2497
104	292	2493
105	295	2490
106	297	2484
107	300	2478
108	302	2473
109	305	2473
110	308	2468
111	310	2464
112	313	2458
113	315	2453
114	318	2449
115	321	2449
116	326	2463
117	329	2464
118	332	2464
119	338	2480
120	346	2519
121	361	2598
122	365	2607
123	394	2786
124	412	2890
125	424	2947
126	429	2952
127	440	3002
128	444	2998
129	447	2997
130	453	3009
131	456	3002
132	459	2995
133	463	2994
134	468	2999
135	470	2991
136	474	2987
137	477	2982
138	482	2986
139	485	2983
140	488	2975
141	491	2972
142	495	2971
143	500	2973
144	503	2967
145	506	2959
146	508	2953
147	512	2949
148	516	2948
149	519	2941
150	521	2934
151	524	2926
152	527	2919
153	531	2918
154	534	2912
155	537	2906
156	539	2899
157	542	2892
158	546	2891
159	549	2883
160	551	2875
161	554	2867
162	556	2859
163	560	2859
164	563	2851
165	565	2843
166	569	2838
167	571	2830
168	575	2829
169	578	2822
170	580	2814
171	583	2808
172	585	2800
173	588	2793
174	592	2793
175	595	2786
176	598	2782
177	601	2777
178	604	2772
179	609	2778
180	612	2773
181	615	2766
182	618	2760
183	621	2757
184	625	2756
185	628	2751
186	631	2744
187	633	2738
188	636	2732
189	639	2725
190	641	2718
191	644	2712
192	647	2706
193	649	2699
194	652	2692
195	655	2687
196	657	2680
197	660	2673
198	663	2669
199	665	2663
200	668	2657
201	671	2651
202	673	2645
203	677	2641
204	680	2639
205	683	2633
206	685	2627
207	688	2620
208	690	2615
209	693	2608
210	695	2602
211	698	2596
212	703	2598
213	705	2592
214	708	2586
215	711	2580
216	713	2574
217	716	2568
218	718	2563
219	721	2556
220	723	2550
221	726	2545
222	728	2539
223	731	2533
224	733	2528
225	736	2522
226	739	2517
227	741	2512
228	744	2506
229	746	2500
230	749	2495
231	752	2490
232	754	2484
233	757	2479
234	759	2473
235	762	2467
236	765	2463
237	767	2457
238	770	2451
239	772	2446
240	775	2440
241	777	2435
242	780	2430
243	782	2425
244	785	2419
245	787	2414
246	790	2408
247	792	2403
248	795	2398
249	797	2393
250	800	2388
251	803	2384
252	805	2379
253	808	2374
254	811	2369
255	813	2364
256	816	2359
257	818	2354
258	821	2349
259	825	2349
260	830	2350
261	835	2352
262	840	2355
263	843	2352
264	847	2349
265	851	2350
266	857	2355
267	861	2353
268	866	2354
269	871	2355
270	874	2352
271	878	2351
272	882	2349
273	885	2346
274	888	2343
275	891	2339
276	895	2336
277	898	2332
278	901	2329
279	905	2328
280	908	2325
281	911	2321
282	914	2317
283	918	2314
284	921	2310
285	924	2307
286	927	2304
287	930	2301
288	933	2297
289	937	2295
290	941	2293
291	945	2291
292	948	2287
293	951	2283
294	954	2280
295	957	2277
296	960	2274
297	963	2270
298	967	2267
299	971	2266
300	975	2264
301	978	2262
302	982	2259
303	985	2256
304	988	2252
305	992	2251
306	995	2247
307	998	2243
308	1002	2241
309	1005	2238
310	1010	2237
311	1013	2234
312	1016	2231
313	1020	2229
314	1024	2226
315	1028	2225
316	1031	2223
317	1035	2220
318	1039	2218
319	1044	2218
320	1047	2216
321	1051	2213
322	1054	2210
323	1058	2207
324	1061	2203
325	1064	2200
326	1067	2197
327	1071	2195
328	1074	2191
329	1078	2188
330	1081	2185
331	1088	2189
332	1091	2187
333	1095	2183
334	1099	2182
335	1102	2179
336	1106	2176
337	1109	2173
338	1113	2171
339	1116	2167
340	1119	2164
341	1123	2160
342	1126	2157
343	1129	2153
344	1132	2150
345	1136	2147
346	1139	2143
347	1142	2140
348	1145	2136
349	1148	2132
350	1151	2129
351	1154	2125
352	1157	2121
353	1160	2117
354	1163	2113
355	1166	2110
356	1169	2106
357	1172	2103
358	1175	2099
359	1179	2096
360	1182	2092
361	1185	2089
362	1188	2085
363	1191	2082
364	1194	2078
365	1197	2074
366	1201	2072
367	1204	2069
368	1208	2065
369	1211	2062
370	1214	2058
371	1218	2057
372	1221	2053
373	1224	2050
374	1227	2046
375	1231	2043
376	1234	2040
377	1237	2037
378	1241	2034
379	1244	2031
380	1248	2028
381	1251	2025
382	1255	2022
383	1258	2019
384	1262	2016
385	1265	2013
386	1268	2009
387	1275	2011
388	1279	2009
389	1283	2006
390	1288	2006
391	1292	2004
392	1295	2001
393	1299	1998
394	1303	1996
395	1307	1994
396	1310	1991
397	1314	1988
398	1318	1985
399	1321	1982
400	1325	1979
401	1329	1977
402	1332	1974
403	1336	1971
404	1339	1967
405	1342	1964
406	1345	1960
407	1349	1957
408	1352	1954
409	1355	1950
410	1358	1947
411	1361	1943
412	1365	1940
413	1368	1937
414	1371	1933
415	1375	1930
416	1378	1926
417	1381	1923
418	1384	1919
419	1388	1917
420	1406	1934
421	1410	1932
422	1416	1932
423	1420	1930
424	1428	1932
425	1433	1931
426	1441	1934
427	1448	1936
428	1459	1942
429	1466	1943
